Course_Number,Course_Title,Credit_Hours
AEROENG 2200,Introduction to Aerospace Engineering I,4.00
AEROENG 2405,Thermodynamics,3.00
AEROENG 3520,Flight Vehicle Dynamics,3.00
AEROENG 3521,Fundamentals of Flight Vehicle Control,3.00
AEROENG 3522,Fundamental Astronautics,3.00
AEROENG 3542,Flight Vehicle Structures I,3.00
AEROENG 3543,Flight Vehicle Structures II,3.00
AEROENG 3560,Fundamentals of Aerodynamics,3.00
AEROENG 3570,One Dimensional Gas Dynamics,3.00
AEROENG 3580,Heat Transfer,3.00
AEROENG 3581,Numerical Methods in Aerospace Engineering,3.00
AEROENG 4193,Individual Studies in Aerospace Engineering,1.00 - 7.00
AEROENG 4194,Group Studies in Aerospace Engineering,1.00 - 3.00
AEROENG 4510,Experimental Projects I,2.00
AEROENG 4511,Experimental Projects II,3.00
AEROENG 4515,Design of Atmospheric Flight Vehicles I,3.00
AEROENG 4516,Design of Atmospheric Flight Vehicles II,3.00
AEROENG 4517,Design of Space Vehicles and Systems I,3.00
AEROENG 4518,Design of Space Vehicles and Systems II,3.00
AEROENG 4550,Principles of Flight Vehicle Propulsion,3.00
AEROENG 4998,Aerospace Engineering Research,1.00 - 3.00
AEROENG 4999,Aerospace Engineering Thesis Research,1.00 - 3.00
AEROENG 4999H,Aerospace Engineering Honors Thesis Research,1.00 - 3.00
AEROENG 5194,Group Studies in Aerospace Engineering,1.00 - 5.00
AEROENG 5610,Helicopter Aerodynamics,3.00
AEROENG 5612,Aircraft Performance and Flight Test Engineering,3.00
AEROENG 5615,Introduction to Computational Aerodynamics,3.00
AEROENG 5616,Advanced Flight Vehicle Design,3.00
AEROENG 5620,Stability and Control of Flight Vehicles,3.00
AEROENG 5621,"Guidance, Navigation, and Control of Aerospace Vehicles",3.00
AEROENG 5626,Orbital Mechanics for Engineers,3.00
AEROENG 5751,Advanced Air-Breathing Propulsion,3.00
AEROENG 5752,Advanced Space Propulsion,3.00
AEROENG 5775,Hypersonic Flow,3.00
AEROENG 6193,Individual Studies in Aerospace Engineering,1.00 - 7.00
AEROENG 6194,Group Studies in Aerospace Engineering,1.00 - 3.00
AEROENG 6560,Advanced Aerodynamics,3.00
AEROENG 6645,Introduction to Structural Dynamics and Aeroelasticity of Aerospace Vehicles,4.00
AEROENG 6771,Viscous Fluid Flow: Laminar and Transitional,3.00
AEROENG 6860,Experimental Fluid Mechanics,3.00
AEROENG 7721,Advanced Flight Mechanics,3.00
AEROENG 7774,Aeroacoustics,3.00
AEROENG 7842,Advanced Structures for Flight Vehicles,3.00
AEROENG 7844,Optimal Design of Aerospace Structures,3.00
AEROENG 7862,Internal Flows in Turbomachinery,3.00
AEROENG 7875,Introduction to Turbulence,3.00
AEROENG 8193,Individual Studies in Aerospace Engineering,1.00 - 7.00
AEROENG 8194,Group Studies Aerospace Engineering,1.00 - 3.00
AEROENG 8518,Advanced Mathematical Methods in Engineering,3.00
AEROENG 8830,Random Dynamical Systems,3.00
AEROENG 8850,Robust Multivariable Control with Applications,3.00
AEROENG 8851,Advanced Propulsion Problems,3.00
AEROENG 8873,Advanced Computational Fluid Dynamics,3.00
AEROENG 8890,Aerospace Engineering Graduate Seminar,1.00
AEROENG 8997,Advanced Topics in Aerospace Engineering,1.00 - 3.00
AEROENG 8998,Graduate Research in Aerospace Engineering,1.00 - 15.00
AEROENG 8999,Aerospace Engineering Research for Dissertation,1.00 - 16.00
